CVE,Summary,Severity,Source Location,Published,References,CVSS,EPSS,KEV
CVE-2025-55037,TkEasyGUI Vulnerable to OS Command Injection,critical,https://github.com/kujirahand/tkeasygui-python,2025-09-05T06:15:32Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-55037', 'https://github.com/kujirahand/tkeasygui-python/releases/tag/v1.0.22', 'https://jvn.jp/en/jp/JVN48739895', 'https://github.com/advisories/GHSA-hfrj-3w3g-jv32']","{'vector_string': 'CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H', 'score': 9.8}","{'percentage': 0.00768, 'percentile': 0.72596}",
,Pixar OpenUSD Sdf_PathNode Module Use-After-Free Vulnerability Leading to Potential Remote Code Execution,critical,https://github.com/PixarAnimationStudios/OpenUSD,,"['https://github.com/PixarAnimationStudios/OpenUSD/security/advisories/GHSA-58p5-r2f6-g2cj', 'https://github.com/PixarAnimationStudios/OpenUSD/commit/0d74f31fe64310791e274e587c9926335e9db9db', 'https://github.com/advisories/GHSA-58p5-r2f6-g2cj']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:H', 'score': 9.4}",,
CVE-2025-58367,"DeepDiff Class Pollution in Delta class leading to DoS, Remote Code Execution, and more",critical,https://github.com/seperman/deepdiff,2025-09-05T22:15:34Z,"['https://github.com/seperman/deepdiff/security/advisories/GHSA-mw26-5g2v-hqw3', 'https://github.com/dgilland/pydash/issues/180', 'https://github.com/dgilland/pydash/commit/2015f0a4bcdbc3a5b27652e38fe97b3ee13ac15f', 'https://nvd.nist.gov/vuln/detail/CVE-2025-58367', 'https://github.com/seperman/deepdiff/commit/c69c06c13f75e849c770ade3f556cd16209fd183', 'https://github.com/seperman/deepdiff/releases/tag/8.6.1', 'https://github.com/advisories/GHSA-mw26-5g2v-hqw3']","{'vector_string': None, 'score': None}","{'percentage': 0.00434, 'percentile': 0.62036}",
CVE-2025-30404,ExecuTorch integer overflow vulnerability,critical,https://github.com/pytorch/executorch,2025-08-07T23:15:26Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-30404', 'https://github.com/pytorch/executorch/commit/d158236b1dc84539c1b16843bc74054c9dcba006', 'https://www.facebook.com/security/advisories/cve-2025-30404', 'https://github.com/advisories/GHSA-hj95-mhgf-jxc4']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H', 'score': 9.8}","{'percentage': 0.001, 'percentile': 0.28285}",
CVE-2025-54949,ExecuTorch heap buffer overflow vulnerability,critical,https://github.com/pytorch/executorch,2025-08-07T23:15:26Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-54949', 'https://github.com/pytorch/executorch/commit/ede82493dae6d2d43f8c424e7be4721abe5242be', 'https://www.facebook.com/security/advisories/cve-2025-54949', 'https://github.com/advisories/GHSA-9m39-3mf3-xwch']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H', 'score': 9.8}","{'percentage': 0.00111, 'percentile': 0.30139}",
CVE-2025-54950,ExecuTorch out-of-bounds access vulnerability,critical,https://github.com/pytorch/executorch,2025-08-07T23:15:26Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-54950', 'https://github.com/pytorch/executorch/commit/fb03b6f85596a8f954d97929075335255b6a58d4', 'https://www.facebook.com/security/advisories/cve-2025-54950', 'https://github.com/pytorch/executorch/commit/b6b7a16df5e7852d976d8c34c8a7e9a1b6f7d005', 'https://github.com/advisories/GHSA-f9hx-c6jf-3qxm']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H', 'score': 9.8}","{'percentage': 0.00129, 'percentile': 0.33159}",
CVE-2025-30405,ExecuTorch integer overflow vulnerability,critical,https://github.com/pytorch/executorch,2025-08-07T23:15:26Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-30405', 'https://github.com/pytorch/executorch/commit/0830af8207240df8d7f35b984cdf8bc35d74fa73', 'https://www.facebook.com/security/advisories/cve-2025-30405', 'https://github.com/advisories/GHSA-84m3-f99p-cqx5']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H', 'score': 9.8}","{'percentage': 0.001, 'percentile': 0.28285}",
CVE-2025-54951,ExecuTorch vulnerable to Heap-based Buffer Overflow,critical,https://github.com/pytorch/executorch,2025-08-07T23:15:26Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-54951', 'https://github.com/pytorch/executorch/commit/cea9b23aa8ff78aff92829a466da97461cc7930c', 'https://www.facebook.com/security/advisories/cve-2025-54951', 'https://github.com/advisories/GHSA-xc7w-r669-48pf']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H', 'score': 9.8}","{'percentage': 0.00111, 'percentile': 0.30139}",
CVE-2025-54802,pyLoad CNL Blueprint allows Path Traversal through `dlc_path` which leads to Remote Code Execution (RCE),critical,https://github.com/pyload/pyload,2025-08-05T01:15:42Z,"['https://github.com/pyload/pyload/security/advisories/GHSA-48rp-jc79-2264', 'https://github.com/pyload/pyload/pull/4596', 'https://github.com/pyload/pyload/commit/70a44fe02c03bce92337b5d370d2a45caa4de3d4', 'https://nvd.nist.gov/vuln/detail/CVE-2025-54802', 'https://github.com/advisories/GHSA-48rp-jc79-2264']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H', 'score': 9.8}","{'percentage': 0.00531, 'percentile': 0.66355}",
,"num2words subjected to phishing attack, two versions published containing malware",critical,https://github.com/savoirfairelinux/num2words,,"['https://github.com/pypa/advisory-database/tree/main/vulns/num2words/PYSEC-2025-72.yaml', 'https://nitter.tiekoetter.com/SFLinux/status/1949906299308953827', 'https://www.stepsecurity.io/blog/supply-chain-security-alert-num2words-pypi-package-shows-signs-of-compromise', 'https://github.com/advisories/GHSA-jxr6-qrxx-2ph2']","{'vector_string': None, 'score': None}",,
CVE-2025-54381,BentoML SSRF Vulnerability in File Upload Processing  ,critical,https://github.com/bentoml/BentoML,2025-07-29T23:15:32Z,"['https://github.com/bentoml/BentoML/security/advisories/GHSA-mrmq-3q62-6cc8', 'https://github.com/bentoml/BentoML/commit/534c3584621da4ab954bdc3d814cc66b95ae5fb8', 'https://nvd.nist.gov/vuln/detail/CVE-2025-54381', 'https://github.com/advisories/GHSA-mrmq-3q62-6cc8']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:L/A:L', 'score': 9.9}","{'percentage': 0.00292, 'percentile': 0.52197}",
CVE-2025-5120,smolagents has Sandbox Escape Vulnerability in the local_python_executor.py Module,critical,https://github.com/huggingface/smolagents,2025-07-27T08:15:25Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-5120', 'https://github.com/huggingface/smolagents/commit/33a942e62b6fbf6a35d41f1c735bda2d64c163d0', 'https://huntr.com/bounties/63ab1cfe-b573-4cf5-a7d3-fb6c957e34b0', 'https://github.com/advisories/GHSA-6v92-r5mx-h5fx']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:L/I:H/A:L', 'score': 9.9}","{'percentage': 0.0013, 'percentile': 0.33276}",
CVE-2025-53890,pyLoad vulnerable to XSS through insecure CAPTCHA ,critical,https://github.com/pyload/pyload,2025-07-15T00:15:24Z,"['https://github.com/pyload/pyload/security/advisories/GHSA-8w3f-4r8f-pf53', 'https://nvd.nist.gov/vuln/detail/CVE-2025-53890', 'https://github.com/pyload/pyload/pull/4586', 'https://github.com/pyload/pyload/commit/909e5c97885237530d1264cfceb5555870eb9546', 'https://github.com/advisories/GHSA-8w3f-4r8f-pf53']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H', 'score': 9.8}","{'percentage': 0.00463, 'percentile': 0.63428}",
CVE-2025-50213,Apache Airflow Providers Snowflake package allows for Special Element Injection via CopyFromExternalStageToSnowflakeOperator,critical,https://github.com/apache/airflow/,2025-06-24T08:15:24Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-50213', 'https://github.com/apache/airflow/pull/51734', 'https://lists.apache.org/thread/2kqfmyt2pghg5f6797g8hzvq331v8qx3', 'https://github.com/apache/airflow/pull/51734/commits/bcf19916738e4a7065a3911814ba1fa32d6fd669', 'https://github.com/pypa/advisory-database/tree/main/vulns/apache-airflow-providers-snowflake/PYSEC-2025-51.yaml', 'https://github.com/advisories/GHSA-9r64-3wmc-x8m8']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H', 'score': 9.8}","{'percentage': 0.00065, 'percentile': 0.20555}",
CVE-2025-52556,rfc3161-client has insufficient verification for timestamp response signatures,critical,https://github.com/trailofbits/rfc3161-client,2025-06-21T02:15:19Z,"['https://github.com/trailofbits/rfc3161-client/security/advisories/GHSA-6qhv-4h7r-2g9m', 'https://github.com/trailofbits/rfc3161-client/commit/724a184f953e3f171f85cb223871172b41b0d0dc', 'https://nvd.nist.gov/vuln/detail/CVE-2025-52556', 'https://github.com/advisories/GHSA-6qhv-4h7r-2g9m']","{'vector_string': None, 'score': None}","{'percentage': 0.00015, 'percentile': 0.01747}",
CVE-2025-3248,Langflow Unauth RCE,critical,https://github.com/langflow-ai/langflow,,"['https://github.com/langflow-ai/langflow/security/advisories/GHSA-rvqx-wpfh-mfx7', 'https://nvd.nist.gov/vuln/detail/CVE-2025-3248', 'https://github.com/langflow-ai/langflow/pull/6911', 'https://github.com/langflow-ai/langflow/commit/faac4db133de32fcb6d483fa9ff52f40ce42bdc0', 'https://github.com/langflow-ai/langflow/releases/tag/1.3.0', 'https://www.horizon3.ai/attack-research/disclosures/unsafe-at-any-speed-abusing-python-exec-for-unauth-rce-in-langflow-ai', 'https://github.com/advisories/GHSA-rvqx-wpfh-mfx7']","{'vector_string': None, 'score': None}","{'percentage': 0.92851, 'percentile': 0.99755}",1
CVE-2024-38824,Salt vulnerable to directory traversal attack in file receiving method,critical,https://github.com/saltstack/salt,2025-06-13T08:15:18Z,"['https://nvd.nist.gov/vuln/detail/CVE-2024-38824', 'https://docs.saltproject.io/en/3006/topics/releases/3006.12.html', 'https://docs.saltproject.io/en/3007/topics/releases/3007.4.html', 'https://github.com/saltstack/salt/commit/c4ad23f0f3132d8d8a88f19fa537dc42cf21b215', 'https://github.com/advisories/GHSA-8pcp-r83j-fc92']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:N', 'score': 9.6}","{'percentage': 0.0013, 'percentile': 0.3332}",
CVE-2025-49652,BackendAI Missing Authentication for Critical Function,critical,https://github.com/lablup/backend.ai,2025-06-09T18:15:26Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-49652', 'https://hiddenlayer.com/sai_security_advisor/2025-05-backendai-49653', 'https://hiddenlayer.com/sai_security_advisor/2025-06-backendai', 'https://github.com/advisories/GHSA-ww28-4m4v-cq4j']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H', 'score': 9.8}","{'percentage': 0.00091, 'percentile': 0.26757}",
CVE-2025-1793,llama_index vulnerable to SQL Injection,critical,https://github.com/run-llama/llama_index,2025-06-05T05:15:23Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-1793', 'https://github.com/run-llama/llama_index/commit/0008041e8dde8e519621388e5d6f558bde6ef42e', 'https://huntr.com/bounties/8cb1555a-9655-4122-b0d6-60059e79183c', 'https://github.com/advisories/GHSA-v3c8-3pr6-gr7p']","{'vector_string': 'CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H', 'score': 9.8}","{'percentage': 0.00021, 'percentile': 0.03598}",
CVE-2025-47277,vLLM Allows Remote Code Execution via PyNcclPipe Communication Service,critical,https://github.com/vllm-project/vllm,2025-05-20T18:15:46Z,"['https://github.com/vllm-project/vllm/security/advisories/GHSA-hjq4-87xh-g4fv', 'https://github.com/vllm-project/vllm/pull/15988', 'https://github.com/vllm-project/vllm/commit/0d6e187e88874c39cda7409cf673f9e6546893e7', 'https://docs.vllm.ai/en/latest/deployment/security.html', 'https://nvd.nist.gov/vuln/detail/CVE-2025-47277', 'https://github.com/advisories/GHSA-hjq4-87xh-g4fv']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H', 'score': 9.8}","{'percentage': 0.00258, 'percentile': 0.49091}",
CVE-2025-46724,Langroid has a Code Injection vulnerability in TableChatAgent,critical,https://github.com/langroid/langroid,2025-05-20T18:15:46Z,"['https://github.com/langroid/langroid/security/advisories/GHSA-jqq5-wc57-f8hj', 'https://github.com/langroid/langroid/commit/0d9e4a7bb3ae2eef8d38f2e970ff916599a2b2a6', 'https://nvd.nist.gov/vuln/detail/CVE-2025-46724', 'https://github.com/advisories/GHSA-jqq5-wc57-f8hj']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H', 'score': 9.8}","{'percentage': 0.00033, 'percentile': 0.08179}",
CVE-2024-24780,Apache IoTDB Vulnerable to Remote Code Execution,critical,https://github.com/apache/iotdb,2025-05-14T11:15:47Z,"['https://nvd.nist.gov/vuln/detail/CVE-2024-24780', 'https://lists.apache.org/thread/xphtm98v3zsk9vlpfh481m1ry2ctxvmj', 'http://www.openwall.com/lists/oss-security/2025/05/14/2', 'https://github.com/apache/iotdb/pull/14365', 'https://github.com/pypa/advisory-database/tree/main/vulns/apache-iotdb/PYSEC-2025-59.yaml', 'https://github.com/advisories/GHSA-f4rq-f4j9-f6rm']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H', 'score': 9.8}","{'percentage': 0.00458, 'percentile': 0.63129}",
CVE-2025-47241,Browser Use allows bypassing `allowed_domains` by putting a decoy domain in http auth username portion of a URL,critical,https://github.com/browser-use/browser-use,,"['https://github.com/browser-use/browser-use/security/advisories/GHSA-x39x-9qw5-ghrf', 'https://nvd.nist.gov/vuln/detail/CVE-2025-47241', 'https://github.com/browser-use/browser-use/pull/1561', 'https://github.com/browser-use/browser-use/releases/tag/0.1.45', 'https://github.com/advisories/GHSA-x39x-9qw5-ghrf']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:N/A:L', 'score': 9.3}","{'percentage': 0.00048, 'percentile': 0.14585}",
,Duplicate Advisory: `allowed_domains` can be bypassed by putting a decoy domain in http auth username portion of a URL,critical,https://github.com/browser-use/browser-use,2025-05-03T21:15:48Z,"['https://github.com/browser-use/browser-use/security/advisories/GHSA-x39x-9qw5-ghrf', 'https://nvd.nist.gov/vuln/detail/CVE-2025-47241', 'https://github.com/browser-use/browser-use/pull/1561', 'https://github.com/browser-use/browser-use/releases/tag/0.1.45', 'https://github.com/advisories/GHSA-f54f-hr32-586f']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:N/A:L', 'score': 9.3}",,
CVE-2025-32444,vLLM Vulnerable to Remote Code Execution via Mooncake Integration,critical,https://github.com/vllm-project/vllm,2025-04-30T01:15:51Z,"['https://github.com/vllm-project/vllm/security/advisories/GHSA-hj4w-hm2g-p6w5', 'https://github.com/vllm-project/vllm/security/advisories/GHSA-x3m8-f7g5-qhm7', 'https://github.com/vllm-project/vllm/commit/a5450f11c95847cf51a17207af9a3ca5ab569b2c', 'https://github.com/vllm-project/vllm/blob/32b14baf8a1f7195ca09484de3008063569b43c5/vllm/distributed/kv_transfer/kv_pipe/mooncake_pipe.py#L179', 'https://nvd.nist.gov/vuln/detail/CVE-2025-32444', 'https://github.com/pypa/advisory-database/tree/main/vulns/vllm/PYSEC-2025-42.yaml', 'https://github.com/advisories/GHSA-hj4w-hm2g-p6w5']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H', 'score': 10.0}","{'percentage': 0.00994, 'percentile': 0.76017}",
CVE-2025-43859,h11 accepts some malformed Chunked-Encoding bodies,critical,https://github.com/python-hyper/h11,2025-04-24T19:15:47Z,"['https://github.com/python-hyper/h11/security/advisories/GHSA-vqfr-h8mv-ghfj', 'https://github.com/python-hyper/h11/commit/114803a29ce50116dc47951c690ad4892b1a36ed', 'https://nvd.nist.gov/vuln/detail/CVE-2025-43859', 'https://github.com/advisories/GHSA-vqfr-h8mv-ghfj']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N', 'score': 9.1}","{'percentage': 0.0004, 'percentile': 0.11267}",
,CVE-2025-24357 Malicious model remote code execution fix bypass with PyTorch < 2.6.0,critical,https://github.com/vllm-project/vllm,,"['https://github.com/pytorch/pytorch/security/advisories/GHSA-53q9-r3pm-6pq6', 'https://github.com/vllm-project/vllm/security/advisories/GHSA-ggpf-24jw-3fcw', 'https://github.com/vllm-project/vllm/security/advisories/GHSA-rh4j-5rhw-hr54', 'https://github.com/advisories/GHSA-ggpf-24jw-3fcw']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H', 'score': 9.8}",,
CVE-2025-32434,PyTorch: `torch.load` with `weights_only=True` leads to remote code execution,critical,https://github.com/pytorch/pytorch,2025-04-18T16:15:23Z,"['https://github.com/pytorch/pytorch/security/advisories/GHSA-53q9-r3pm-6pq6', 'https://github.com/pytorch/pytorch/commit/8d4b8a920a2172523deb95bf20e8e52d50649c04', 'https://nvd.nist.gov/vuln/detail/CVE-2025-32434', 'https://github.com/pypa/advisory-database/tree/main/vulns/torch/PYSEC-2025-41.yaml', 'https://github.com/advisories/GHSA-53q9-r3pm-6pq6']","{'vector_string': None, 'score': None}","{'percentage': 0.00151, 'percentile': 0.3649}",
CVE-2025-32428,TigerVNC accessible via the network and not just via a UNIX socket as intended,critical,https://github.com/jupyterhub/jupyter-remote-desktop-proxy,2025-04-15T00:15:14Z,"['https://github.com/jupyterhub/jupyter-remote-desktop-proxy/security/advisories/GHSA-vrq4-9hc3-cgp7', 'https://github.com/jupyterhub/jupyter-remote-desktop-proxy/commit/7dd54c25a4253badd8ea68895437e5a66a59090d', 'https://nvd.nist.gov/vuln/detail/CVE-2025-32428', 'https://github.com/advisories/GHSA-vrq4-9hc3-cgp7']","{'vector_string': None, 'score': None}","{'percentage': 0.00028, 'percentile': 0.06485}",
CVE-2025-32375,BentoML's runner server Vulnerable to Remote Code Execution (RCE) via Insecure Deserialization,critical,https://github.com/bentoml/BentoML,2025-04-09T16:15:25Z,"['https://github.com/bentoml/BentoML/security/advisories/GHSA-7v4r-c989-xh26', 'https://nvd.nist.gov/vuln/detail/CVE-2025-32375', 'https://github.com/pypa/advisory-database/tree/main/vulns/bentoml/PYSEC-2025-32.yaml', 'https://github.com/advisories/GHSA-7v4r-c989-xh26']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H', 'score': 9.8}","{'percentage': 0.47822, 'percentile': 0.97641}",
CVE-2025-32013,LNbits Lightning Network Payment System Vulnerable to Server-Side Request Forgery via LNURL Authentication Callback,critical,https://github.com/lnbits/lnbits,2025-04-06T20:15:15Z,"['https://github.com/lnbits/lnbits/security/advisories/GHSA-qp8j-p87f-c8cc', 'https://nvd.nist.gov/vuln/detail/CVE-2025-32013', 'https://github.com/pypa/advisory-database/tree/main/vulns/lnbits/PYSEC-2025-16.yaml', 'https://github.com/advisories/GHSA-qp8j-p87f-c8cc']","{'vector_string': None, 'score': None}","{'percentage': 0.00026, 'percentile': 0.05599}",
,Duplicate Advisory: Langflow Vulnerable to Code Injection via the `/api/v1/validate/code` endpoint,critical,https://github.com/langflow-ai/langflow,2025-04-07T15:15:44Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-3248', 'https://github.com/langflow-ai/langflow/pull/6911', 'https://github.com/langflow-ai/langflow/releases/tag/1.3.0', 'https://www.horizon3.ai/attack-research/disclosures/unsafe-at-any-speed-abusing-python-exec-for-unauth-rce-in-langflow-ai', 'https://github.com/advisories/GHSA-c995-4fw3-j39m']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H', 'score': 9.8}",,
