CVE,Summary,Severity,Source Location,Published,References,CVSS,EPSS,KEV
CVE-2025-43866,Vantage6 Server JWT secret not cryptographically secure,low,https://github.com/vantage6/vantage6,2025-06-12T18:15:20Z,"['https://github.com/vantage6/vantage6/security/advisories/GHSA-m3mq-f375-5vgh', 'https://nvd.nist.gov/vuln/detail/CVE-2025-43866', 'https://github.com/vantage6/vantage6/commit/e39a262faf1cd4c554bf1b8e57eeea082da995c0', 'https://github.com/advisories/GHSA-m3mq-f375-5vgh']","{'vector_string': None, 'score': None}","{'percentage': 0.00049, 'percentile': 0.14814}",
CVE-2025-43863,vantage6 lacks brute-force protection on change password functionality,low,https://github.com/vantage6/vantage6,2025-06-12T18:15:20Z,"['https://github.com/vantage6/vantage6/security/advisories/GHSA-j6g5-p62x-58hw', 'https://nvd.nist.gov/vuln/detail/CVE-2025-43863', 'https://github.com/vantage6/vantage6/commit/e0f1841b310f6f610e8137db2506cf683ce154d0', 'https://github.com/advisories/GHSA-j6g5-p62x-58hw']","{'vector_string': None, 'score': None}","{'percentage': 0.00065, 'percentile': 0.20782}",
CVE-2025-5321,Aim Vulnerable to Sandbox Escape Leading to Remote Code Execution,low,https://github.com/aimhubio/aim,2025-05-29T15:15:34Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-5321', 'https://gist.github.com/superboy-zjc/1fc4747a0ac77a1edc8c32e1d4edc54c', 'https://vuldb.com/?ctiid.310492', 'https://vuldb.com/?id.310492', 'https://vuldb.com/?submit.580253', 'https://github.com/advisories/GHSA-gp5h-f9c5-8355']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L', 'score': 6.3}","{'percentage': 0.00052, 'percentile': 0.16159}",
CVE-2025-5320,Gradio CORS Origin Validation Bypass Vulnerability,low,https://github.com/gradio-app/gradio,2025-05-29T14:15:38Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-5320', 'https://gist.github.com/superboy-zjc/aa3dfa161d7b19d8a53ab4605792f2fe', 'https://gist.github.com/superboy-zjc/aa3dfa161d7b19d8a53ab4605792f2fe#proof-of-concept-poc', 'https://vuldb.com/?ctiid.310491', 'https://vuldb.com/?id.310491', 'https://vuldb.com/?submit.580250', 'https://github.com/advisories/GHSA-wmjh-cpqj-4v6x']","{'vector_string': 'CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N', 'score': 3.7}","{'percentage': 0.00023, 'percentile': 0.04572}",
CVE-2025-46570,Potential Timing Side-Channel Vulnerability in vLLM’s Chunk-Based Prefix Caching,low,https://github.com/vllm-project/vllm,2025-05-29T17:15:21Z,"['https://github.com/vllm-project/vllm/security/advisories/GHSA-4qjh-9fv9-r85r', 'https://github.com/vllm-project/vllm/pull/17045', 'https://github.com/vllm-project/vllm/commit/77073c77bc2006eb80ea6d5128f076f5e6c6f54f', 'https://nvd.nist.gov/vuln/detail/CVE-2025-46570', 'https://github.com/pypa/advisory-database/tree/main/vulns/vllm/PYSEC-2025-53.yaml', 'https://github.com/advisories/GHSA-4qjh-9fv9-r85r']","{'vector_string': 'CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:U/C:L/I:N/A:N', 'score': 2.6}","{'percentage': 0.00036, 'percentile': 0.08913}",
CVE-2025-47774,Vyper's `slice()` may elide side-effects when output length is 0,low,https://github.com/vyperlang/vyper,2025-05-15T18:15:38Z,"['https://github.com/vyperlang/vyper/security/advisories/GHSA-3vcg-j39x-cwfm', 'https://nvd.nist.gov/vuln/detail/CVE-2025-47774', 'https://github.com/vyperlang/vyper/pull/4645', 'https://github.com/vyperlang/vyper/blob/68b68c4b30c5ef2f312b4674676170b8a6eaa316/vyper/builtins/functions.py#L315-L319', 'https://github.com/vyperlang/vyper/blob/68b68c4b30c5ef2f312b4674676170b8a6eaa316/vyper/codegen/core.py#L189-L191', 'https://github.com/advisories/GHSA-3vcg-j39x-cwfm']","{'vector_string': None, 'score': None}","{'percentage': 0.00082, 'percentile': 0.24809}",
CVE-2025-47285,Vyper's `concat()` builtin may elide side-effects for zero-length arguments,low,https://github.com/vyperlang/vyper,2025-05-15T18:15:38Z,"['https://github.com/vyperlang/vyper/security/advisories/GHSA-qhr6-mgqr-mchm', 'https://nvd.nist.gov/vuln/detail/CVE-2025-47285', 'https://github.com/vyperlang/vyper/pull/4644', 'https://github.com/vyperlang/vyper/blob/68b68c4b30c5ef2f312b4674676170b8a6eaa316/vyper/builtins/functions.py#L560-L562', 'https://github.com/advisories/GHSA-qhr6-mgqr-mchm']","{'vector_string': None, 'score': None}","{'percentage': 0.00077, 'percentile': 0.23718}",
CVE-2025-47278,Flask uses fallback key instead of current signing key,low,https://github.com/pallets/flask,2025-05-13T16:15:32Z,"['https://github.com/pallets/flask/security/advisories/GHSA-4grg-w6v8-c28g', 'https://nvd.nist.gov/vuln/detail/CVE-2025-47278', 'https://github.com/pallets/flask/commit/73d6504063bfa00666a92b07a28aaf906c532f09', 'https://github.com/pallets/flask/releases/tag/3.1.1', 'https://github.com/advisories/GHSA-4grg-w6v8-c28g']","{'vector_string': None, 'score': None}","{'percentage': 0.00023, 'percentile': 0.04495}",
CVE-2025-44021,OpenStack Ironic fails to restrict paths used for file:// image URLs,low,https://github.com/openstack/ironic,2025-05-08T17:16:01Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-44021', 'https://bugs.launchpad.net/ironic/+bug/2107847', 'https://security.openstack.org/ossa/OSSA-2025-001.html', 'https://github.com/openstack/ironic/commit/10590b36f541130f6a5d7a49da0f095ff8390cce', 'https://github.com/pypa/advisory-database/tree/main/vulns/ironic/PYSEC-2025-38.yaml', 'http://www.openwall.com/lists/oss-security/2025/05/08/1', 'https://github.com/advisories/GHSA-q3m2-crgq-5p3q']","{'vector_string': 'CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:C/C:N/I:L/A:N', 'score': 2.8}","{'percentage': 0.00025, 'percentile': 0.05254}",
CVE-2025-4032,AWorld OS Command Injection vulnerability,low,https://github.com/inclusionAI/AWorld,2025-04-28T19:15:47Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-4032', 'https://github.com/inclusionAI/AWorld/issues/38', 'https://github.com/inclusionAI/AWorld/issues/38#issuecomment-2806190923', 'https://vuldb.com/?ctiid.306395', 'https://vuldb.com/?id.306395', 'https://vuldb.com/?submit.559222', 'https://github.com/inclusionAI/AWorld/issues/38#issue-2996574433', 'https://github.com/advisories/GHSA-jmjf-mfhm-j3gf']","{'vector_string': 'CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:L/A:L', 'score': 5.0}","{'percentage': 0.00165, 'percentile': 0.38241}",
CVE-2025-46656,"markdownify allows large headline prefixes such as <h9999999>, which causes memory consumption",low,https://github.com/matthewwithanm/python-markdownify,2025-04-26T22:15:17Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-46656', 'https://github.com/matthewwithanm/python-markdownify/issues/143', 'https://github.com/matthewwithanm/python-markdownify/compare/0.14.0...0.14.1', 'https://github.com/matthewwithanm/python-markdownify/commit/959561879693bf4a576f99c6733b50b01186aa08', 'https://github.com/advisories/GHSA-7mpr-5m44-h73r']","{'vector_string': 'CVSS:3.1/AV:L/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L', 'score': 2.9}","{'percentage': 0.00019, 'percentile': 0.03473}",
CVE-2025-32021,VCS credentials included in URL parameters are potentially logged and saved into browser history as plaintext,low,https://github.com/WeblateOrg/weblate,2025-04-15T21:16:04Z,"['https://github.com/WeblateOrg/weblate/security/advisories/GHSA-m67m-3p5g-cw9j', 'https://github.com/WeblateOrg/weblate/releases/tag/weblate-5.11', 'https://nvd.nist.gov/vuln/detail/CVE-2025-32021', 'https://github.com/advisories/GHSA-m67m-3p5g-cw9j']","{'vector_string': 'CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:U/C:L/I:N/A:N', 'score': 2.2}","{'percentage': 0.00053, 'percentile': 0.16675}",
CVE-2025-2953,PyTorch susceptible to local Denial of Service,low,https://github.com/pytorch/pytorch,2025-03-30T16:15:14Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-2953', 'https://github.com/pytorch/pytorch/issues/149274', 'https://github.com/pytorch/pytorch/issues/149274#issue-2923122269', 'https://vuldb.com/?ctiid.302006', 'https://vuldb.com/?id.302006', 'https://vuldb.com/?submit.521279', 'https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models', 'https://github.com/advisories/GHSA-3749-ghw9-m3mg']","{'vector_string': 'CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L', 'score': 3.3}","{'percentage': 0.00045, 'percentile': 0.13534}",
,Django TomSelect incomplete escaping of dangerous characters in widget attributes,low,https://github.com/OmenApps/django-tomselect,,"['https://github.com/OmenApps/django-tomselect/security/advisories/GHSA-785h-76cm-cpmf', 'https://github.com/OmenApps/django-tomselect/commit/0990ed36c8874f9d42fa9deff7734bf8dcd46d40', 'https://github.com/advisories/GHSA-785h-76cm-cpmf']","{'vector_string': None, 'score': None}",,
CVE-2025-1474,MLflow has Weak Password Requirements,low,https://github.com/mlflow/mlflow,2025-03-20T10:15:54Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-1474', 'https://github.com/mlflow/mlflow/commit/149c9e18aa219bc47e86b432e130e467a36f4a17', 'https://huntr.com/bounties/e79f7774-10fe-46b2-b522-e73b748e3b2d', 'https://github.com/pypa/advisory-database/tree/main/vulns/mlflow/PYSEC-2025-17.yaml', 'https://github.com/advisories/GHSA-4rj2-9gcx-5qhx']","{'vector_string': 'CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:L/I:L/A:N', 'score': 3.8}","{'percentage': 0.00047, 'percentile': 0.13748}",
CVE-2025-24023,Flask-AppBuilder Observable Response Discrepancy,low,https://github.com/dpgaspar/Flask-AppBuilder,2025-03-03T16:15:41Z,"['https://github.com/dpgaspar/Flask-AppBuilder/security/advisories/GHSA-p8q5-cvwx-wvwp', 'https://nvd.nist.gov/vuln/detail/CVE-2025-24023', 'https://github.com/pypa/advisory-database/tree/main/vulns/flask-appbuilder/PYSEC-2025-15.yaml', 'https://github.com/advisories/GHSA-p8q5-cvwx-wvwp']","{'vector_string': 'CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N', 'score': 3.7}","{'percentage': 0.00048, 'percentile': 0.14592}",
CVE-2025-27145,copyparty renders unsanitized filenames as HTML when user uploads empty files,low,https://github.com/9001/copyparty,2025-02-25T02:15:16Z,"['https://github.com/9001/copyparty/security/advisories/GHSA-m2jw-cj8v-937r', 'https://nvd.nist.gov/vuln/detail/CVE-2025-27145', 'https://github.com/9001/copyparty/commit/438ea6ccb06f39d7cbb4b6ee7ad44606e21a63dd', 'https://github.com/9001/copyparty/releases/tag/v1.16.15', 'https://github.com/advisories/GHSA-m2jw-cj8v-937r']","{'vector_string': 'CVSS:3.1/AV:L/AC:H/PR:N/UI:R/S:U/C:L/I:L/A:N', 'score': 3.6}","{'percentage': 0.00034, 'percentile': 0.08676}",
CVE-2025-27104,Vyper has a double eval in For List Iter,low,https://github.com/vyperlang/vyper,2025-02-21T22:15:13Z,"['https://github.com/vyperlang/vyper/security/advisories/GHSA-h33q-mhmp-8p67', 'https://github.com/vyperlang/vyper/pull/4488', 'https://nvd.nist.gov/vuln/detail/CVE-2025-27104', 'https://github.com/pypa/advisory-database/tree/main/vulns/vyper/PYSEC-2025-30.yaml', 'https://github.com/advisories/GHSA-h33q-mhmp-8p67']","{'vector_string': None, 'score': None}","{'percentage': 0.00127, 'percentile': 0.32912}",
CVE-2025-27105,AugAssign evaluation order causing OOB write within the object in Vyper,low,https://github.com/vyperlang/vyper,2025-02-21T22:15:13Z,"['https://github.com/vyperlang/vyper/security/advisories/GHSA-4w26-8p97-f4jp', 'https://nvd.nist.gov/vuln/detail/CVE-2025-27105', 'https://github.com/pypa/advisory-database/tree/main/vulns/vyper/PYSEC-2025-31.yaml', 'https://github.com/advisories/GHSA-4w26-8p97-f4jp']","{'vector_string': None, 'score': None}","{'percentage': 0.00149, 'percentile': 0.36099}",
CVE-2025-26622,Vyper's sqrt doesn't define rounding behavior,low,https://github.com/vyperlang/vyper,2025-02-21T22:15:13Z,"['https://github.com/vyperlang/vyper/security/advisories/GHSA-2p94-8669-xg86', 'https://github.com/vyperlang/vyper/pull/4486', 'https://nvd.nist.gov/vuln/detail/CVE-2025-26622', 'https://github.com/pypa/advisory-database/tree/main/vulns/vyper/PYSEC-2025-29.yaml', 'https://github.com/advisories/GHSA-2p94-8669-xg86']","{'vector_string': None, 'score': None}","{'percentage': 0.00052, 'percentile': 0.16071}",
CVE-2024-12797,Vulnerable OpenSSL included in cryptography wheels,low,https://github.com/pyca/cryptography,2025-02-11T16:15:38Z,"['https://github.com/pyca/cryptography/security/advisories/GHSA-79v4-65xg-pq4g', 'https://openssl-library.org/news/secadv/20250211.txt', 'https://nvd.nist.gov/vuln/detail/CVE-2024-12797', 'https://github.com/openssl/openssl/commit/738d4f9fdeaad57660dcba50a619fafced3fd5e9', 'https://github.com/openssl/openssl/commit/798779d43494549b611233f92652f0da5328fbe7', 'https://github.com/openssl/openssl/commit/87ebd203feffcf92ad5889df92f90bb0ee10a699', 'http://www.openwall.com/lists/oss-security/2025/02/11/3', 'http://www.openwall.com/lists/oss-security/2025/02/11/4', 'https://github.com/advisories/GHSA-79v4-65xg-pq4g']","{'vector_string': None, 'score': None}","{'percentage': 0.00304, 'percentile': 0.53238}",
